transaction_id,datum,store,province,kategorie,bedrag,quantity,customer_id,payment_method
TXN-000001,12-06-2024,,KZN,beauty,R1193.12,2,CUST-00423,EFT
TXN-000002,12 Oct 2024,Mall of the North,Limpopo Province,F&B,R649,1,CUST-01439,Card
TXN-000003,14/10/2024,,KwaZulu-Natal,Clothing,R1475.61,1,CUST-01798,Mobile Money
TXN-000004,18 Jul 2024,Mall of North,Limpopo Province,Home,R4101.35,2,CUST-00012,Card
TXN-000005,02/08/2024,eastgate,Gauteng Province,Home & Living,R3381.59,3,CUST-00894,Card
TXN-000006,2024-05-23,Canal Walk,western cape,Food and Beverage,R427.12,1,CUST-01070,Card
TXN-000007,11-17-2024,sandton city,Gauteng,Beauty & Health,R365.73,1,CUST-01840,EFT
TXN-000008,02-26-2024,Bay West Mall,eastern cape,Sports & Outdoors,R2416,1,CUST-01868,EFT
TXN-000009,19/08/2024,Eastgate,Gauteng,Beauty,R454.63,1,CUST-00015,Mobile Money
TXN-000010,2024-10-01,Mall of North,,Home & Living,R 2 959.37,3,,Card
TXN-000011,2024-09-15,V&A,Western Cape,Elec.,4511.75,2,CUST-00610,EFT
TXN-000012,2024-07-16,Eastgate Mall,Gauteng Province,BEAUTY,R1883,5,CUST-00032,Mobile Money
TXN-000013,2024-06-04,Mall of the North,limpopo,electronics,1034.92,1,CUST-00031,EFT
TXN-000014,31/10/2024,Gateway Umhlanga,KwaZulu-Natal,F&B,R283.02,1,CUST-00155,Card
TXN-000015,2024-05-30,baywest mall,eastern cape,Clothing,2419.80,1,CUST-00616,Cash
TXN-000016,02-14-2024,Gateway Mall Umhlanga,KwaZulu Natal,food & beverage,R442.04,1,CUST-01436,Cash
TXN-000017,20 Apr 2024,menlyn park,GP,Sport,R541,2,CUST-01469,EFT
TXN-000018,01-22-2024,Sandton City,Gauteng,Sports & Outdoors,R414.55,2,CUST-01160,Card
TXN-000019,21/10/2024,baywest mall,Eastern Cape,food & beverage,R-2224.27,2,CUST-00765,Mobile Money
TXN-000020,2024-08-19,,eastern cape,Apparel,"R 2,599.48",1,CUST-00026,EFT
TXN-000021,2024-11-19,Gateway,KwaZulu-Natal,Food and Beverage,R128,3,CUST-00765,Cash
TXN-000022,09 Nov 2024,Canal Walk Mall,western cape,Electronics,R4885.99,1,CUST-00120,EFT
TXN-000023,22/01/2024,Gateway Umhlanga,KwaZulu-Natal,H&L,4934.18,3,CUST-01263,Mobile Money
TXN-000024,08-20-2024,sandton city,Gauteng,food & beverage,R313.06,2,,Mobile Money
TXN-000025,2024-09-06,,eastern cape,H&L,"R 5,599.27",4,CUST-00578,Card
TXN-000026,2024-12-28,V and A Waterfront,WC,Food and Beverage,R 185.56,1,CUST-01413,Mobile Money
TXN-000027,04/09/2024,Gateway Mall Umhlanga,KZN,Home and Living,4945.55,1,CUST-01167,Card
TXN-000028,19 Mar 2024,,EC,Cosmetics,R 84.05,2,CUST-00894,Mobile Money
TXN-000029,2024-05-08,Menlyn Park Mall,Gauteng Province,Beauty,1455.07,2,CUST-01118,EFT
TXN-000030,03 Mar 2024,Gateway Mall Umhlanga,Kwazulu-Natal,sports,543.71,1,CUST-00989,Cash
TXN-000031,2024-12-03,baywest mall,EC,Cosmetics,"R 1,226.22",1,CUST-00061,EFT
TXN-000032,10-27-2024,V&A Waterfront,Western cape,Clothes,533.15,1,CUST-00440,EFT
TXN-000033,06/05/2024,V&A Waterfront,W. Cape,food & beverage,R 316.32,3,CUST-00137,EFT
TXN-000034,16 Dec 2024,V and A Waterfront,Western Cape,H&L,R 8 325.18,1,CUST-00915,Cash
TXN-000035,2024-11-15,gateway umhlanga,,Food,R 582.75,3,CUST-00042,EFT
TXN-000036,02-01-2024,canal walk,Western Cape,SPORTS,R2853.58,2,CUST-00811,Mobile Money
TXN-000037,2024-08-19,Web,LP,SPORTS,2885.39,4,CUST-00466,Card
TXN-000038,2024-12-23,eastgate,GP,Electronics,R19719,1,CUST-00064,Mobile Money
TXN-000039,21 Dec 2024,Gateway,KwaZulu-Natal,Sports & Outdoors,5325.80,2,CUST-01494,Cash
TXN-000040,2024-05-05,,Kwazulu-Natal,clothing,R2347,1,CUST-01156,Card
TXN-000041,15/02/2024,VA Waterfront,WC,Home and Living,R1153.97,3,CUST-00022,Mobile Money
TXN-000042,09 Feb 2024,eastgate,Gauteng,Food,R-2494.19,1,CUST-00110,EFT
TXN-000043,2024-10-22,Menlyn Park Mall,Gauteng,Home & Living,R2628.37,1,CUST-00674,EFT
TXN-000044,11 Aug 2024,Menlyn Park,Gauteng Province,home & living,R6603.62,3,CUST-01834,Card
TXN-000045,12-23-2024,gateway umhlanga,KwaZulu-Natal,home & living,"R 8,321.60",1,CUST-01930,Mobile Money
TXN-000046,04-12-2024,Sandton City Mall,gauteng,Food,R511.96,2,CUST-00019,EFT
TXN-000047,07/06/2024,Sandton City,Gauteng Province,Home and Living,"R 6,198.25",1,CUST-00188,EFT
TXN-000048,03 Jan 2024,SANDTON CITY,Gauteng Province,Tech,"R 6,994.60",1,CUST-00938,Mobile Money
TXN-000049,11-17-2024,VA Waterfront,western cape,sports,R 1 918.42,1,CUST-01330,Mobile Money
TXN-000050,02 Feb 2024,Baywest Mall,eastern cape,Food and Beverage,R 611.16,1,CUST-00843,Mobile Money
TXN-000051,13 Apr 2024,Gateway Umhlanga,KwaZulu Natal,food & beverage,R 183.76,4,CUST-00175,Cash
TXN-000052,2024-12-15,MOTN,Limpopo Province,sports,R 4 732.13,1,CUST-00831,EFT
TXN-000053,03 May 2024,menlyn park,Gauteng Province,Sports,"R 2,413.74",2,CUST-01479,Card
TXN-000054,2024-12-15,menlyn park,Gauteng Province,Sports,2272.41,4,CUST-00108,Card
TXN-000055,10-21-2024,Eastgate,GP,electronics,R1707.32,4,,Card
TXN-000056,12 Feb 2024,Sandton city,Gauteng Province,SPORTS,"R 1,269.59",1,CUST-00994,Card
TXN-000057,27 Dec 2024,gateway umhlanga,KZN,Beauty & Health,216.92,1,CUST-01533,Card
TXN-000058,07-09-2024,sandton city,GP,Beauty,R465.91,1,CUST-00108,EFT
TXN-000059,07-27-2024,Gateway Mall Umhlanga,KwaZulu Natal,Food,R697.03,1,CUST-01466,Mobile Money
TXN-000060,21/05/2024,Sandton city,Gauteng Province,H&L,R2839.74,2,CUST-01783,EFT
TXN-000061,31/05/2024,Canal Walk,W. Cape,BEAUTY,1170.99,1,CUST-01045,EFT
TXN-000062,05-21-2024,,Kwazulu-Natal,Cosmetics,R 882.98,1,CUST-01380,EFT
TXN-000063,2024-11-07,eastgate,gauteng,Sport,(R558.08),5,CUST-01014,Cash
TXN-000064,08-28-2024,Baywest,Eastern Cape,sports,R2187.21,4,CUST-00099,EFT
TXN-000065,19/02/2024,,,Sports,1261.55,1,CUST-00008,EFT
TXN-000066,26 Aug 2024,MOTN,Limpopo,ELECTRONICS,11044.98,1,CUST-01541,Cash
TXN-000067,10-11-2024,Mall of North,limpopo,Food and Beverage,R 327.36,1,,Mobile Money
TXN-000068,22/11/2024,Sandton City Mall,Gauteng,Clothes,R3272.88,2,CUST-00136,Card
TXN-000069,04-08-2024,SANDTON CITY,Gauteng,home & living,R3226.20,4,CUST-00520,Mobile Money
TXN-000070,2024-09-30,Bay West Mall,EC,Home,959.93,1,CUST-01434,Cash
TXN-000071,14/03/2024,Sandton City Mall,Gauteng,Sports & Outdoors,-R4134.98,1,CUST-01020,Cash
TXN-000072,2024-05-04,eastgate,gauteng,Elec.,"R 6,917.02",1,CUST-00016,Mobile Money
TXN-000073,2024-06-30,Sandton City,GAUTENG,Home and Living,R5870.01,1,CUST-00380,EFT
TXN-000074,12-27-2024,MOTN,Limpopo,Home,"R 2,957.99",1,CUST-01617,EFT
TXN-000075,2024-10-15,,KZN,Beauty,R 1 201.19,1,CUST-00148,Card
TXN-000076,10-15-2024,,WC,Beauty & Health,R1861,1,CUST-00470,EFT
TXN-000077,06 Jan 2024,,KwaZulu-Natal,Elec.,6061.41,2,CUST-00400,Card
TXN-000078,10-14-2024,canal walk,WC,Clothes,(R719.81),5,CUST-01539,Card
TXN-000079,04-25-2024,Baywest Mall,Eastern Cape,food & beverage,211.45,3,CUST-00152,EFT
TXN-000080,2024-02-09,Baywest Mall,E. Cape,ELECTRONICS,"R 8,131.78",1,CUST-01576,Cash
TXN-000081,09-04-2024,,KwaZulu-Natal,Clothes,R1624.98,1,CUST-01051,Mobile Money
TXN-000082,03/11/2024,MOTN,Limpopo Province,F&B,R 812.87,1,CUST-00196,Cash
TXN-000083,2024-12-09,Menlyn,GAUTENG,Home & Living,6218.28,1,CUST-00865,Card
TXN-000084,27 Jan 2024,Canal walk,western cape,Clothes,R173.50,3,CUST-01749,Card
TXN-000085,22/02/2024,,Limpopo,Clothing,206.48,1,CUST-01060,Card
TXN-000086,28/07/2024,Menlyn Park Mall,gauteng,Sports & Outdoors,4066.85,2,CUST-00220,EFT
TXN-000087,2024-11-03,Menlyn Park,Gauteng Province,beauty,R682.13,1,CUST-01163,EFT
TXN-000088,15/04/2024,Canal Walk Mall,,Food & Beverage,520.80,1,CUST-00937,EFT
TXN-000089,11-05-2024,,Western cape,Elec.,R3147.56,1,CUST-00435,Card
TXN-000090,01-17-2024,menlyn park,Gauteng,Sports & Outdoors,R1209.69,1,CUST-00118,EFT
TXN-000091,24/09/2024,eastgate,gauteng,home & living,R 405.52,1,CUST-00394,Cash
TXN-000092,11/02/2024,V&A Waterfront,western cape,Food,R 117.90,1,CUST-00027,Cash
TXN-000093,2024-12-16,Mall of the North,Limpopo Province,clothing,"R 2,108.85",1,CUST-01399,Cash
TXN-000094,2024-03-18,Gateway,,food & beverage,R507,4,CUST-00959,Cash
TXN-000095,10-21-2024,Mall of the North,LP,home & living,R201.57,2,CUST-01564,Cash
TXN-000096,2024-11-01,Gateway Mall Umhlanga,Kwazulu-Natal,CLOTHING,1103.86,4,CUST-00196,EFT
TXN-000097,17/06/2024,Sandton city,Gauteng Province,Elec.,3980.60,1,CUST-00888,Cash
TXN-000098,2024-12-28,online,EC,Clothing,R3147.20,2,CUST-00806,EFT
TXN-000099,2024-12-10,,Gauteng Province,BEAUTY,R2775.50,3,CUST-01302,Mobile Money
TXN-000100,2024-12-30,menlyn park,GP,Sport,-R1919.54,1,CUST-00176,Cash
TXN-000101,10-18-2024,,limpopo,beauty,1593.10,2,CUST-00188,EFT
TXN-000102,22/02/2024,V&A,Western Cape,F&B,R 136.15,3,CUST-00845,Card
TXN-000103,30/12/2024,VA Waterfront,Western cape,home & living,R 5 071.41,1,CUST-00185,Mobile Money
TXN-000104,08-15-2024,,GAUTENG,Home and Living,R2516.75,2,CUST-01935,Mobile Money
TXN-000105,11-17-2024,,gauteng,Tech,1107.30,1,CUST-00150,EFT
TXN-000106,10-10-2024,Menlyn Park Mall,GAUTENG,Clothes,R2887.20,1,CUST-00281,Cash
TXN-000107,2024-04-19,eastgate,,Sports & Outdoors,R580.42,1,CUST-00778,Cash
TXN-000108,06-21-2024,Web,WC,BEAUTY,1542.03,2,CUST-01276,Mobile Money
TXN-000109,13 Apr 2024,,Gauteng,sports,R2375.49,4,CUST-01869,EFT
TXN-000110,02 Jun 2024,,kwazulu natal,Clothes,R3070.26,2,CUST-00667,Mobile Money
